Name,Tier,Tree,Description,Ranks,Unlock
Boxing,Tier 1,Physical Skill,"Once considered a ""sport of kings,"" boxing is still practiced as a recreational competitive activity, but its combat applications can't be denied.",Unarmed attacks do 25% more damage. 25% less 02 used when using a power attack.,Rank 1: Kill 20 enemies with an unarmed attack Rank 2: Kill 50 enemies with an unarmed attack Rank 3: Kill 100 enemies with an unarmed attack Rank 4: Complete the previous rank challenge to unlock this rank.
Fitness,Tier 1,Physical Skill,"In space, the greatest commodity is oxygen, and the increased lung capacity gained by a regular physical fitness regimen is essential to survival.",You have 10% more oxygen available.,Rank 1: Use up all available Oxygen 20 times. Rank 2: Use up all available Oxygen 50 times. Rank 3: Use up all available Oxygen 100 times. Rank 4: Complete the previous rank challenge to unlock this rank.
Stealth,Tier 1,Physical Skill,"For a combatant who values discretion above all else, the ability to approach a target while undetected and kill with a silenced weapon is as terrifying as it is effective.",Adds a Stealth Meter. You are 25% more difficult to detect when sneaking. Suppressed weapons do an additional 5% sneak attack damage.,Rank 1: Perform 10 sneak attacks. Rank 2: Perform 20 sneak attacks. Rank 3: Perform 40 sneak attacks. Rank 4: Complete the previous rank challenge to unlock this rank.
Weight Lifting,Tier 1,Physical Skill,"Weight training can significantly increase one's ability to carry weapons and equipment, Both in space and on the ground.",Increase total carrying capacity by 10 kilograms.,Rank 1: Sprint for 1000 meters while at 75% or more of your maximum load capacity. Rank 2: Sprint for 2500 meters while at 75% or more of your maximum load capacity. Rank 3: Sprint for 5000 meters while at 75% or more of your maximum load capacity. Rank 4: Complete the previous rank challenge to unlock this rank.
Wellness,Tier 1,Physical Skill,"By embracing an active lifestyle and good nutrition habits, one may improve their overall sense of health, and even gain prolonged life expectancy.",Increase your maximum health by 10%.,Rank 1: Heal 200 damage. Rank 2: Heal 500 damage. Rank 3: Heal 1000 damage. Rank 4: Complete the previous rank challenge to unlock this rank.
Pain Tolerance,Tier 2,Physical Skill,Pain hurts - but only if you're not strong enough to take it.,Physical damage is reduced by 5%.,Rank 1: Take 250 points of physical damage. Rank 2: Take 500 points of physical damage. Rank 3: Take 1000 points of physical damage. Rank 4: Complete the previous rank challenge to unlock this rank.
Nutrition,Tier 2,Physical Skill,"Advanced nutritional science is no substitute for good life choices, and knowing how much and when to eat can be just as important as the food itself.",Food and drink are 10% more effective.,Rank 1: Consume 10 food or drink items. Rank 2: Consume 30 food or drink items. Rank 3: Consume 75 food or drink items. Rank 4: Complete the previous rank challenge to unlock this rank.
Gymnastics,Tier 2,Physical Skill,"From navigating the elevations of alien landscapes to exploring derelict ships in Zero-G, gymnastic training is invaluable for improving Both safety and maneuverability.",Unlock the ability to combat slide. Take 15% less fall damage.,Rank 1: Take 100 fall damage Rank 2: Kill 5 enemies in Zero G environments. Rank 3: Kill 20 enemies in Zero-G environments. Rank 4: Complete the previous rank challenge to unlock this rank.
Environmental Conditioning,Tier 2,Physical Skill,"In the Settled Systems, even oxygen-rich planets and moons may have an atmosphere that is hazardous to human beings.",Gain 10 resistance to Airborne environmental damage.,Rank 1: Take 100 environmental damage. Rank 2: Take 250 environmental damage. Rank 3: Take 500 environmental damage. Rank 4: Complete the previous rank challenge to unlock this rank.
Energy Weapon Dissipation,Tier 2,Physical Skill,"Considering the widespread use of energy weapons in the Settled Systems, specialized training to minimize damage is considered invaluable.","Energy damage is reduced by 5%,",Rank 1: Take 150 points of energy damage. Rank 2: Take 350 points of energy damage. Rank 3: Take 750 points of energy damage. Rank 4: Complete the previous rank challenge to unlock this rank.
Cellular Regeneration,Tier 3,Physical Skill,"Whether through secret experiementation or just plain healthy living, boosting the body's ability to naturally recover from injuries can mean the difference between life and death.",Slightly increased chance to recover from injuries naturally.,Rank 1: Recover from 5 injuries. Rank 2: Recover from 10 injuries. Rank 3: Recover from 30 injuries. Rank 4: Complete the previous rank challenge to unlock this rank.
Decontamination,Tier 3,Physical Skill,"Through a deliberate regiment of conditioning and antibody therapy, one may effectively combat even the Settled Systems' unseen threats.",Slightly increased chance to recover from infections naturally.,Rank 1: Recover from 5 infections. Rank 2: Recover from 15 infections. Rank 3: Recover from 30 infections. Rank 4: Complete the previous rank challenge to unlock this rank.
Martial Arts,Tier 3,Physical Skill,"There are currently hundreds of martial arts practiced in the Settled Systems, some originating on ancient Earth, some newly created, almost all effective in combat.",15% increased chance to crit with a melee or unarmed attack.,Rank 1: Deal 250 damage with unarmed attacks. Rank 2: Disarm 10 enemies using melee or unarmed attacks. Rank 3: Disarm 30 enemies using melee or unarmed attacks. Rank 4: Complete the previous rank challenge to unlock this rank.
Concealment,Tier 4,Physical Skill,"Few skills capture the imagination like the ability to remain undetected, used by assassins, special forces operatives, and simple thieves alike for centuries.",You no longer set off enemy mines. Ranged sneak attacks do 2.5x normal damage and your melee sneak attacks do 4x normal damage.,Rank 1: Perform 10 melee/unarmed sneak attacks. Rank 2: Perform 30 melee/unarmed sneak attacks. Rank 3: Perform 75 melee/unarmed sneak attacks. Rank 4: Complete the previous rank challenge to unlock this rank.
Neurostrikes,Tier 4,Physical Skill,"Once considered the realm of fiction, the ability to disable an opponent without using a weapon is terrifyingly effective when performed by a skilled practitioner.",10% chance to stun an NPC with an unarmed attack.,Rank 1: Stun 10 enemies with an unarmed attack. Rank 2: Stun 30 enemies with an unarmed attack. Rank 3: Stun 75 enemies with an unarmed attack. Rank 4: Complete the previous rank challenge to unlock this rank.
Rejuvenation,Tier 4,Physical Skill,"Utilizing Both ancient meditation techniques and newly developed breathing exercises, it's possible for one to actually trigger their body's natural healing ability.",Slowly regenerate health outside of combat.,Rank 1: Fall below 25% health 3 times and fully heal. Rank 2: Fall below 25% health 8 times and fully heal. Rank 3: Fall below 25% health 15 times and fully heal. Rank 4: Complete the previous rank challenge to unlock this rank.
Ballistics,Tier 1,Combat Skill,"Centuries of conflict have proven that when it comes to threat elimination, few things stack up to the reliable power of high-speed projectiles.",Ballistic weapons do 10% more damage.,Rank 1: Kill 20 enemies with a ballistic weapon Rank 2: Kill 50 enemies with a ballistic weapon Rank 3: Kill 100 enemies with a ballistic weapon Rank 4: Complete the previous rank challenge to unlock this rank.
Dueling,Tier 1,Combat Skill,"Considered by many to be a lost art, close attacks with a melee weapon can often be deadlier than ranged combat when carried out by a skilled practitioner.",Melee weapons do 25% more damage. Take 10% less damage while wielding a melee weapon.,Rank 1: Kill 20 enemies with a melee weapon Rank 2: Kill 50 enemies with a melee weapon Rank 3: Kill 100 enemies with a melee weapon Rank 4: Complete the previous rank challenge to unlock this rank.
Lasers,Tier 1,Combat Skill,"Personal laser weapons are in widespread use across the Settled Systems, and specialized training can greatly increase their effectiveness.",Laser weapons do 10% more damage.,Rank 1: Kill 20 enemies with a laser weapon. Rank 2: Kill 50 enemies with a laser weapon. Rank 3: Kill 100 enemies with a laser weapon. Rank 4: Complete the previous rank challenge to unlock this rank.
Pistol Certification,Tier 1,Combat Skill,"Considering the popularity of the personal sidearm in the Settled Systems, familiarity with such weapons is often considered essential.",Pistols do 10% more damage.,Rank 1: Kill 20 enemies with a pistol. Rank 2: Kill 50 enemies with a pistol. Rank 3: Kill 100 enemies with a pistol. Rank 4: Complete the previous rank challenge to unlock this rank.
Shotgun Certification,Tier 1,Combat Skill,"The cornerstone of close quarters combat, or CQC, the shotgun has proven a simple, deadly weapon for hundreds of years.",Shotguns do 10% more damage.,Rank 1: Kill 20 enemies with a shotgun. Rank 2: Kill 50 enemies with a shotgun. Rank 3: Kill 100 enemies with a shotgun. Rank 4: Complete the previous rank challenge to unlock this rank.
Rifle Certification,Tier 2,Combat Skill,"Whether used for combat, hunting, or some other deadly purpose, the rifle has become a mainstay of Settled Systems weaponry.",Rifles do 10% more damage.,Rank 1: Kill 20 enemies with a rifle. Rank 2: Kill 50 enemies with a rifle. Rank 3: Kill 100 enemies with a rifle. Rank 4: Complete the previous rank challenge to unlock this rank.
Particle Beams,Tier 2,Combat Skill,"While considered by some to be exotic, particle weapons can be a devastating combat option, subjecting a target to multiple forms of damage.",Particle beam weapons do 10% more damage.,Rank 1: Kill 20 enemies with a particle beam weapon. Rank 2: Kill 50 enemies with a particle beam weapon. Rank 3: Kill 100 enemies with a particle beam weapon. Rank 4: Complete the previous rank challenge to unlock this rank.
Incapacitation,Tier 2,Combat Skill,"EM weapons are generally employed to damage roBots, but can also be used to render human beings unconscious.",EM weapons do 5% more damage.,Rank 1: Deal 400 EM damage. Rank 2: Deal 1000 EM damage. Rank 3: Deal 2500 EM damage. Rank 4: Complete the previous rank challenge to unlock this rank.
Heavy Weapons Certification,Tier 2,Combat Skill,"Oversized weapons may prove cumbersome to wield, but their excessive damage output can't be ignored, especially in the hands of a trained combatant.",Heavy weapons do 10% more damage.,Rank 1: Kill 20 enemies with a heavy weapon. Rank 2: Kill 50 enemies with a heavy weapon. Rank 3: Kill 100 enemies with a heavy weapon. Rank 4: Complete the previous rank challenge to unlock this rank.
Demolitions,Tier 2,Combat Skill,"With the proper adjustment of chemical mixtures, coupled with modifications to the detonation mechanism, explosives can produce an even greater destructive yield.",Throwing grenades now shows a trajectory arc. Explosions have a 25% larger radius.,Rank 1: Kill 20 enemies with explosives. Rank 2: Kill 50 enemies with explosives. Rank 3: Kill 100 enemies with explosives. Rank 4: Complete the previous rank challenge to unlock this rank.
Marksmanship,Tier 3,Combat Skill,"Perhaps no combat scenario is more frightening, or lethal, as a single-shot weapon wielded by someone skilled in critical shot placement.",Increase critical hit chance with non-automatic ranged weapons by 3%.,Rank 1: Deal 10 ranged critical hits. Rank 2: Deal 30 ranged critical hits. Rank 3: Deal 75 ranged critical hits. Rank 4: Complete the previous rank challenge to unlock this rank.
Rapid Reloading,Tier 3,Combat Skill,"In the chaos of combat, the seconds needed to reload your weapon could be the difference between life and death.",Reload Ballistic weapons 30% faster.,Rank 1: Reload 30 empty magazines. Rank 2: Reload 75 empty magazines. Rank 3: Reload 150 empty magazines. Rank 4: Complete the previous rank challenge to unlock this rank.
Sniper Certification,Tier 3,Combat Skill,Only a trained sniper truly understands all the elements necessary to patiently and effectively neutralize a target at excessive range.,Scoped weapons are steadier and have less sway.,Rank 1: Kill 50 enemies using a scoped weapon. Rank 2: Kill 125 enemies using a scoped weapon. Rank 3: Kill 250 enemies using a scoped weapon. Rank 4: Complete the previous rank challenge to unlock this rank.
Targeting,Tier 3,Combat Skill,"While careful aiming is generally preferred in combat, ""shooting from the hip"" can prove a fast and deadly alternative with sufficient training.",Increased accuracy and range when shooting without aiming. Marks up to one enemy within 25m that damages you.,Rank 1: Kill 50 enemies without aiming with a ranged weapon. Rank 2: Kill 150 enemies without aiming with a ranged weapon. Rank 3: Kill 250 enemies without aiming with a ranged weapon. Rank 4: Complete the previous rank challenge to unlock this rank.
Sharpshooting,Tier 4,Combat Skill,"For those who specialize in precise targeting that maximizes damage, combat is often a quickly efficient affair.",Increase headshot critical damage by 50% with ranged weapons.,Rank 1: Deal 50 ranged critical hits. Rank 2: Deal 125 ranged critical hits. Rank 3: Deal 250 ranged critical hits. Rank 4: Complete the previous rank challenge to unlock this rank.
Crippling,Tier 4,Combat Skill,"Specifically targeting the pressure points and nerves of various limbs can disable an opponent, limiting their combat effectiveness.",Human enemies have a 30% increased chance to enter a downed state after taking enough damage.,Rank 1: Put 20 enemies into the bleedout state. Rank 2: Put 50 enemies into the bleedout state. Rank 3: Put 100 enemies into the bleedout state. Rank 4: Complete the previous rank challenge to unlock this rank.
Armor Penetration,Tier 4,Combat Skill,"By identifying gaps or weak points in body armor, an attacker can often gain a tactical advantage in combat.",Attacks ignore 15% of a target's armor.,Rank 1: Kill 20 enemies with a non-automatic weapon Rank 2: Kill 50 enemies with a non-automatic weapon Rank 3: Kill 100 enemies with a non-automatic weapon Rank 4: Complete the previous rank challenge to unlock this rank.
Astrodynamics,Tier 1,Science Skill,"Advanced technology is one thing, but it takes skill, patience, and a little bit of love to coax even more capability out of a ship's grav drive.",Increase grav jump range of jump drives by 15%.,Rank 1: Make 5 grav jumps. Rank 2: Make 15 grav jumps. Rank 3: Make 30 grav jumps. Rank 4: Complete the previous rank challenge to unlock this rank.
Geology,Tier 1,Science Skill,Newly discovered minerals mined from alien planets and moons have directly led to some incredible technological advancements.,Get more common and uncommon inorganic resources from surface objects.,Rank 1: Harvest inorganic resources from 20 sources. Rank 2: Harvest inorganic resources from 50 sources. Rank 3: Harvest inorganic resources from 100 sources. Rank 4: Complete the previous rank challenge to unlock this rank.
Medicine,Tier 1,Science Skill,Only through advancements in medical training and technology has humanity been able to withstand the galaxy's many dangers.,"Med Packs, Trauma Packs, and Emergency Kits restore 10% additional Health 10% faster.",Rank 1: Use healing items 20 times while wounded. Rank 2: Use healing items 50 times while wounded. Rank 3: Use healing items 100 times while wounded. Rank 4: Complete the previous rank challenge to unlock this rank.
Research Methods,Tier 1,Science Skill,"By skillfully employing Both new and time tested methods, a researcher may complete projects faster, and even gain unexpected insights.",Resources required to craft items and complete research projects is reduced by 10%.,"Rank 1: Craft 5 unique food, drinks, drugs, weapon mods, or equipment mods. Rank 2: Craft 10 unique food, drinks, drugs, weapon mods, or equipment mods. Rank 3: Craft 15 unique food, drinks, drugs, weapon mods, or equipment mods. Rank 4: Complete the previous rank challenge to unlock this rank."
Surveying,Tier 1,Science Skill,"Humanity now has access to untold alien worlds, and the ability to decipher all that data while on the ground has become an essential skillset.","Adds an optional zoom to the hand scanner, and scan distance is increased to 20 meters.","Rank 1: Use the hand scanner to scan 10 unique resources, flora, or fauna. Rank 2: Use the hand scanner to scan 25 unique resources, flora, or fauna. Rank 3: Use the hand scanner to scan 50 unique resources, flora, or fauna. Rank 4: Complete the previous rank challenge to unlock this rank."
Zoology,Tier 2,Science Skill,"No one could have expected the number of new species encountered on alien worlds, or the importance of those skilled in their behavior and domestication.","Get more common organic resources from creatures and harvest from them without harming them, learn additional info about them from the scanner, and allows you to produce animal resources at your outposts.",Rank 1: Harvest organic resources from 20 creatures. Rank 2: Harvest organic resources from 50 creatures. Rank 3: Harvest organic resources from 100 creatures. Rank 4: Complete the previous rank challenge to unlock this rank.
Weapon Engineering,Tier 2,Science Skill,"Life in the 24th century can be exceedingly dangerous, and the ability to maintain and modify personal weapons can be essential to one's survival.","You can craft improved weapon mods at a Weapon Workbench, and research additional weapon mods at a Research Lab.",Rank 1: Craft 5 weapon mods. Rank 2: Craft 15 weapon mods. Rank 3: Craft 30 weapon mods. Rank 4: Complete the previous rank challenge to unlock this rank.
Spacesuit Design,Tier 2,Science Skill,"While a basic spacesuit can protect one from the vacuum of space, it takes a specialized design to withstand the rigors of many alien worlds.","You can craft improved spacesuit, helmet, and pack mods, and research additional mods at a Research Lab.","Rank 1: Craft 5 spacesuit, helmet, or pack mods. Rank 2: Craft 15 spacesuit, helmet, or pack mods. Rank 3: Craft 30 spacesuit, helmet, or pack mods. Rank 4: Complete the previous rank challenge to unlock this rank."
