Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research
Medical Treatment 1,Aluminum x 2 Amino Acids x 2 Antimicrobial x 3,None,Antibiotic Paste Infused Bandages,None,Medical Treatment 1,Aluminum x 2 Amino Acids x 2 Antimicrobial x 3,None,Antibiotic Paste Infused Bandages,None,Medical Treatment 1,Aluminum x 2 Amino Acids x 2 Antimicrobial x 3,None,Antibiotic Paste Infused Bandages,None,Medical Treatment 1,Aluminum x 2 Amino Acids x 2 Antimicrobial x 3,None,Antibiotic Paste Infused Bandages,None,Medical Treatment 1,Aluminum x 2 Amino Acids x 2 Antimicrobial x 3,None,Antibiotic Paste Infused Bandages,None
Medical Treatment 2,Amino Acids x 10 Analgesic x 10 Antimicrobial x 10 Battlestim x 5 Heart + x 5,Rank 1,Analgesic Poultice Boudicca,Medical Treatment 1,Medical Treatment 2,Amino Acids x 10 Analgesic x 10 Antimicrobial x 10 Battlestim x 5 Heart + x 5,Rank 1,Analgesic Poultice Boudicca,Medical Treatment 1,Medical Treatment 2,Amino Acids x 10 Analgesic x 10 Antimicrobial x 10 Battlestim x 5 Heart + x 5,Rank 1,Analgesic Poultice Boudicca,Medical Treatment 1,Medical Treatment 2,Amino Acids x 10 Analgesic x 10 Antimicrobial x 10 Battlestim x 5 Heart + x 5,Rank 1,Analgesic Poultice Boudicca,Medical Treatment 1,Medical Treatment 2,Amino Acids x 10 Analgesic x 10 Antimicrobial x 10 Battlestim x 5 Heart + x 5,Rank 1,Analgesic Poultice Boudicca,Medical Treatment 1
Medical Treatment 3,Antibiotics x 10 Metabolic Agent x 20 Sealant x 10 Sedative x 10,Rank 2,Antibiotic Injector Repairing Immobilizer,Medical Treatment 2,Medical Treatment 3,Antibiotics x 10 Metabolic Agent x 20 Sealant x 10 Sedative x 10,Rank 2,Antibiotic Injector Repairing Immobilizer,Medical Treatment 2,Medical Treatment 3,Antibiotics x 10 Metabolic Agent x 20 Sealant x 10 Sedative x 10,Rank 2,Antibiotic Injector Repairing Immobilizer,Medical Treatment 2,Medical Treatment 3,Antibiotics x 10 Metabolic Agent x 20 Sealant x 10 Sedative x 10,Rank 2,Antibiotic Injector Repairing Immobilizer,Medical Treatment 2,Medical Treatment 3,Antibiotics x 10 Metabolic Agent x 20 Sealant x 10 Sedative x 10,Rank 2,Antibiotic Injector Repairing Immobilizer,Medical Treatment 2
Medical Treatment 4,Immunostimulant x 2 Membrane x 8 Heart+ x 4 Trauma Pack x 4,Rank 3,,Medical Treatment 3,Medical Treatment 4,Immunostimulant x 2 Membrane x 8 Heart+ x 4 Trauma Pack x 4,Rank 3,,Medical Treatment 3,Medical Treatment 4,Immunostimulant x 2 Membrane x 8 Heart+ x 4 Trauma Pack x 4,Rank 3,,Medical Treatment 3,Medical Treatment 4,Immunostimulant x 2 Membrane x 8 Heart+ x 4 Trauma Pack x 4,Rank 3,,Medical Treatment 3,Medical Treatment 4,Immunostimulant x 2 Membrane x 8 Heart+ x 4 Trauma Pack x 4,Rank 3,,Medical Treatment 3
Innovative Synthesis 1,Alien Genetic Material x 1 Carboxylic Acids x 2 Mercury x 4 Solvent x 2 Tetrafluorides x 2,Chemistry Rank 3 Special Projects Rank 1,,,Innovative Synthesis 1,Alien Genetic Material x 1 Carboxylic Acids x 2 Mercury x 4 Solvent x 2 Tetrafluorides x 2,Chemistry Rank 3 Special Projects Rank 1,,,Innovative Synthesis 1,Alien Genetic Material x 1 Carboxylic Acids x 2 Mercury x 4 Solvent x 2 Tetrafluorides x 2,Chemistry Rank 3 Special Projects Rank 1,,,Innovative Synthesis 1,Alien Genetic Material x 1 Carboxylic Acids x 2 Mercury x 4 Solvent x 2 Tetrafluorides x 2,Chemistry Rank 3 Special Projects Rank 1,,,Innovative Synthesis 1,Alien Genetic Material x 1 Carboxylic Acids x 2 Mercury x 4 Solvent x 2 Tetrafluorides x 2,Chemistry Rank 3 Special Projects Rank 1,,
Innovative Synthesis 2,Alien Genetic Material x 2 Carboxylic Acids x 4 Mercury x 4 Solvent x 2 Aurora x 2 Dwarf Star Heart x 2,,,Innovative Synthesis 1,Innovative Synthesis 2,Alien Genetic Material x 2 Carboxylic Acids x 4 Mercury x 4 Solvent x 2 Aurora x 2 Dwarf Star Heart x 2,,,Innovative Synthesis 1,Innovative Synthesis 2,Alien Genetic Material x 2 Carboxylic Acids x 4 Mercury x 4 Solvent x 2 Aurora x 2 Dwarf Star Heart x 2,,,Innovative Synthesis 1,Innovative Synthesis 2,Alien Genetic Material x 2 Carboxylic Acids x 4 Mercury x 4 Solvent x 2 Aurora x 2 Dwarf Star Heart x 2,,,Innovative Synthesis 1,Innovative Synthesis 2,Alien Genetic Material x 2 Carboxylic Acids x 4 Mercury x 4 Solvent x 2 Aurora x 2 Dwarf Star Heart x 2,,,Innovative Synthesis 1
Innovative Synthesis 3,,,,Innovative Synthesis 2,Innovative Synthesis 3,,,,Innovative Synthesis 2,Innovative Synthesis 3,,,,Innovative Synthesis 2,Innovative Synthesis 3,,,,Innovative Synthesis 2,Innovative Synthesis 3,,,,Innovative Synthesis 2
Performance Enhancement 1,Argon x 2 Metabolic Agent x 3 Tetrafluorides x 2,None,AMP Red Trench,None,Performance Enhancement 1,Argon x 2 Metabolic Agent x 3 Tetrafluorides x 2,None,AMP Red Trench,None,Performance Enhancement 1,Argon x 2 Metabolic Agent x 3 Tetrafluorides x 2,None,AMP Red Trench,None,Performance Enhancement 1,Argon x 2 Metabolic Agent x 3 Tetrafluorides x 2,None,AMP Red Trench,None,Performance Enhancement 1,Argon x 2 Metabolic Agent x 3 Tetrafluorides x 2,None,AMP Red Trench,None
Performance Enhancement 2,Carboxylic Acids x 10 Hippolyta x 5 Infantry Alpha x 5 Membrane x 5 Solvent x 10,Rank 1,Panopticon Paramour,Performance Enhancement 1,Performance Enhancement 2,Carboxylic Acids x 10 Hippolyta x 5 Infantry Alpha x 5 Membrane x 5 Solvent x 10,Rank 1,Panopticon Paramour,Performance Enhancement 1,Performance Enhancement 2,Carboxylic Acids x 10 Hippolyta x 5 Infantry Alpha x 5 Membrane x 5 Solvent x 10,Rank 1,Panopticon Paramour,Performance Enhancement 1,Performance Enhancement 2,Carboxylic Acids x 10 Hippolyta x 5 Infantry Alpha x 5 Membrane x 5 Solvent x 10,Rank 1,Panopticon Paramour,Performance Enhancement 1,Performance Enhancement 2,Carboxylic Acids x 10 Hippolyta x 5 Infantry Alpha x 5 Membrane x 5 Solvent x 10,Rank 1,Panopticon Paramour,Performance Enhancement 1
Performance Enhancement 3,Ionic Liquids x 4 Stimulant x 4 Toxin x 4 Squall x 2 Synapse Alpha x 2,,,Performance Enhancement 2,Performance Enhancement 3,Ionic Liquids x 4 Stimulant x 4 Toxin x 4 Squall x 2 Synapse Alpha x 2,,,Performance Enhancement 2,Performance Enhancement 3,Ionic Liquids x 4 Stimulant x 4 Toxin x 4 Squall x 2 Synapse Alpha x 2,,,Performance Enhancement 2,Performance Enhancement 3,Ionic Liquids x 4 Stimulant x 4 Toxin x 4 Squall x 2 Synapse Alpha x 2,,,Performance Enhancement 2,Performance Enhancement 3,Ionic Liquids x 4 Stimulant x 4 Toxin x 4 Squall x 2 Synapse Alpha x 2,,,Performance Enhancement 2
Performance Enhancement 4,Stimulant x 8 Aurora x 4 CQB-X x 4 Squall x 4 Whiteout x 3,,,Performance Enhancement 3,Performance Enhancement 4,Stimulant x 8 Aurora x 4 CQB-X x 4 Squall x 4 Whiteout x 3,,,Performance Enhancement 3,Performance Enhancement 4,Stimulant x 8 Aurora x 4 CQB-X x 4 Squall x 4 Whiteout x 3,,,Performance Enhancement 3,Performance Enhancement 4,Stimulant x 8 Aurora x 4 CQB-X x 4 Squall x 4 Whiteout x 3,,,Performance Enhancement 3,Performance Enhancement 4,Stimulant x 8 Aurora x 4 CQB-X x 4 Squall x 4 Whiteout x 3,,,Performance Enhancement 3
,,,,,,,,,,,,,,,,,,,,,,,,
Beverage Development 1,Water x 3 Fiber x 3 Spice x 2,None,Alien Tonic Boba Alien Tea Yellow Giant Splash,None,Beverage Development 1,Water x 3 Fiber x 3 Spice x 2,None,Alien Tonic Boba Alien Tea Yellow Giant Splash,None,Beverage Development 1,Water x 3 Fiber x 3 Spice x 2,None,Alien Tonic Boba Alien Tea Yellow Giant Splash,None,Beverage Development 1,Water x 3 Fiber x 3 Spice x 2,None,Alien Tonic Boba Alien Tea Yellow Giant Splash,None,Beverage Development 1,Water x 3 Fiber x 3 Spice x 2,None,Alien Tonic Boba Alien Tea Yellow Giant Splash,None
Beverage Development 2,Aromatic x 5 Benzene x 5 Metabolic Agent x 10 Spice x 5 Tranquilitea Sunray x 5,Rank 1,Alien Energy Drink Sunray Tonic,Beverage Development 1,Beverage Development 2,Aromatic x 5 Benzene x 5 Metabolic Agent x 10 Spice x 5 Tranquilitea Sunray x 5,Rank 1,Alien Energy Drink Sunray Tonic,Beverage Development 1,Beverage Development 2,Aromatic x 5 Benzene x 5 Metabolic Agent x 10 Spice x 5 Tranquilitea Sunray x 5,Rank 1,Alien Energy Drink Sunray Tonic,Beverage Development 1,Beverage Development 2,Aromatic x 5 Benzene x 5 Metabolic Agent x 10 Spice x 5 Tranquilitea Sunray x 5,Rank 1,Alien Energy Drink Sunray Tonic,Beverage Development 1,Beverage Development 2,Aromatic x 5 Benzene x 5 Metabolic Agent x 10 Spice x 5 Tranquilitea Sunray x 5,Rank 1,Alien Energy Drink Sunray Tonic,Beverage Development 1
Beverage Development 3,Spice x 4 Nutrient x 4 Dairy x 4 Fiber x 8 Water x 8 Cafe x 4,,Alien Broth Bullet Coffee,Beverage Development 2,Beverage Development 3,Spice x 4 Nutrient x 4 Dairy x 4 Fiber x 8 Water x 8 Cafe x 4,,Alien Broth Bullet Coffee,Beverage Development 2,Beverage Development 3,Spice x 4 Nutrient x 4 Dairy x 4 Fiber x 8 Water x 8 Cafe x 4,,Alien Broth Bullet Coffee,Beverage Development 2,Beverage Development 3,Spice x 4 Nutrient x 4 Dairy x 4 Fiber x 8 Water x 8 Cafe x 4,,Alien Broth Bullet Coffee,Beverage Development 2,Beverage Development 3,Spice x 4 Nutrient x 4 Dairy x 4 Fiber x 8 Water x 8 Cafe x 4,,Alien Broth Bullet Coffee,Beverage Development 2
Beverage Development 4,Spice x 12 Tea x 4 Water x 12 BOOM POP! Black Licorice x 4 BOOM POP! Root Beer x 8 BOOM POP! Cola x 8,,Chai Latte Boom Pop! Dynamite,Beverage Development 3,Beverage Development 4,Spice x 12 Tea x 4 Water x 12 BOOM POP! Black Licorice x 4 BOOM POP! Root Beer x 8 BOOM POP! Cola x 8,,Chai Latte Boom Pop! Dynamite,Beverage Development 3,Beverage Development 4,Spice x 12 Tea x 4 Water x 12 BOOM POP! Black Licorice x 4 BOOM POP! Root Beer x 8 BOOM POP! Cola x 8,,Chai Latte Boom Pop! Dynamite,Beverage Development 3,Beverage Development 4,Spice x 12 Tea x 4 Water x 12 BOOM POP! Black Licorice x 4 BOOM POP! Root Beer x 8 BOOM POP! Cola x 8,,Chai Latte Boom Pop! Dynamite,Beverage Development 3,Beverage Development 4,Spice x 12 Tea x 4 Water x 12 BOOM POP! Black Licorice x 4 BOOM POP! Root Beer x 8 BOOM POP! Cola x 8,,Chai Latte Boom Pop! Dynamite,Beverage Development 3
Mixology 1,Alkanes x 2 Aromatic x 2 Spice x 3,None,Alien Liquor,None,Mixology 1,Alkanes x 2 Aromatic x 2 Spice x 3,None,Alien Liquor,None,Mixology 1,Alkanes x 2 Aromatic x 2 Spice x 3,None,Alien Liquor,None,Mixology 1,Alkanes x 2 Aromatic x 2 Spice x 3,None,Alien Liquor,None,Mixology 1,Alkanes x 2 Aromatic x 2 Spice x 3,None,Alien Liquor,None
Mixology 2,Aromatic x 10 Can-uck! Poutine x 5 Liquor x 5 Spice x 10,Rank 1,Colonel's Choice Lumberjack Julep,Mixology 1,Mixology 2,Aromatic x 10 Can-uck! Poutine x 5 Liquor x 5 Spice x 10,Rank 1,Colonel's Choice Lumberjack Julep,Mixology 1,Mixology 2,Aromatic x 10 Can-uck! Poutine x 5 Liquor x 5 Spice x 10,Rank 1,Colonel's Choice Lumberjack Julep,Mixology 1,Mixology 2,Aromatic x 10 Can-uck! Poutine x 5 Liquor x 5 Spice x 10,Rank 1,Colonel's Choice Lumberjack Julep,Mixology 1,Mixology 2,Aromatic x 10 Can-uck! Poutine x 5 Liquor x 5 Spice x 10,Rank 1,Colonel's Choice Lumberjack Julep,Mixology 1
Mixology 3,Aromatic x 8 Dairy x 4 Liquor x 4 Soda x 4,,Disastrous Shipwreck Very Heavy Water,Mixology 2,Mixology 3,Aromatic x 8 Dairy x 4 Liquor x 4 Soda x 4,,Disastrous Shipwreck Very Heavy Water,Mixology 2,Mixology 3,Aromatic x 8 Dairy x 4 Liquor x 4 Soda x 4,,Disastrous Shipwreck Very Heavy Water,Mixology 2,Mixology 3,Aromatic x 8 Dairy x 4 Liquor x 4 Soda x 4,,Disastrous Shipwreck Very Heavy Water,Mixology 2,Mixology 3,Aromatic x 8 Dairy x 4 Liquor x 4 Soda x 4,,Disastrous Shipwreck Very Heavy Water,Mixology 2
Mixology 4,Tomato x 4 Spice x 10 Liquor x 8,,Big Bloody Mary,Mixology 3,Mixology 4,Tomato x 4 Spice x 10 Liquor x 8,,Big Bloody Mary,Mixology 3,Mixology 4,Tomato x 4 Spice x 10 Liquor x 8,,Big Bloody Mary,Mixology 3,Mixology 4,Tomato x 4 Spice x 10 Liquor x 8,,Big Bloody Mary,Mixology 3,Mixology 4,Tomato x 4 Spice x 10 Liquor x 8,,Big Bloody Mary,Mixology 3
Old Earth Cuisine 1,Breadx 3 Cheese x 2 Red Meatx 2,None,Meatloaf Reuben,None,Old Earth Cuisine 1,Breadx 3 Cheese x 2 Red Meatx 2,None,Meatloaf Reuben,None,Old Earth Cuisine 1,Breadx 3 Cheese x 2 Red Meatx 2,None,Meatloaf Reuben,None,Old Earth Cuisine 1,Breadx 3 Cheese x 2 Red Meatx 2,None,Meatloaf Reuben,None,Old Earth Cuisine 1,Breadx 3 Cheese x 2 Red Meatx 2,None,Meatloaf Reuben,None
Old Earth Cuisine 2,Butter x 5 Cheese x 5 Egg x 5 Poultry x 5 Spice x 5,Rank 1,Carbonara Chicken Marsala Latkes,Old Earth Cuisine 1,Old Earth Cuisine 2,Butter x 5 Cheese x 5 Egg x 5 Poultry x 5 Spice x 5,Rank 1,Carbonara Chicken Marsala Latkes,Old Earth Cuisine 1,Old Earth Cuisine 2,Butter x 5 Cheese x 5 Egg x 5 Poultry x 5 Spice x 5,Rank 1,Carbonara Chicken Marsala Latkes,Old Earth Cuisine 1,Old Earth Cuisine 2,Butter x 5 Cheese x 5 Egg x 5 Poultry x 5 Spice x 5,Rank 1,Carbonara Chicken Marsala Latkes,Old Earth Cuisine 1,Old Earth Cuisine 2,Butter x 5 Cheese x 5 Egg x 5 Poultry x 5 Spice x 5,Rank 1,Carbonara Chicken Marsala Latkes,Old Earth Cuisine 1
Old Earth Cuisine 3,Spice x 4 Nutrient x 8 Beer x 4 Poultry x 4 Dairy x 4 Egg x 4,,Barbacoa Wrap Chapaguri Chicken Tikka,Old Earth Cuisine 2,Old Earth Cuisine 3,Spice x 4 Nutrient x 8 Beer x 4 Poultry x 4 Dairy x 4 Egg x 4,,Barbacoa Wrap Chapaguri Chicken Tikka,Old Earth Cuisine 2,Old Earth Cuisine 3,Spice x 4 Nutrient x 8 Beer x 4 Poultry x 4 Dairy x 4 Egg x 4,,Barbacoa Wrap Chapaguri Chicken Tikka,Old Earth Cuisine 2,Old Earth Cuisine 3,Spice x 4 Nutrient x 8 Beer x 4 Poultry x 4 Dairy x 4 Egg x 4,,Barbacoa Wrap Chapaguri Chicken Tikka,Old Earth Cuisine 2,Old Earth Cuisine 3,Spice x 4 Nutrient x 8 Beer x 4 Poultry x 4 Dairy x 4 Egg x 4,,Barbacoa Wrap Chapaguri Chicken Tikka,Old Earth Cuisine 2
Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3
Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4
Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1
Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2
